,label,text
0,False,kramer levin naftali & frankel llp
1,False,"april 26, 2013"
4,True,share of mutual fund must be price and be redeem on a daili basi at their current net asset valu per share. (rule 22c-1 under the invest compani act of 1940 (the “1940 act”).)
6,True,"redempt payment must be made within seven days, and the right of redempt can be suspend onli in limit circumstances, such as when the new york stock exchang is close (other than customari weekend and holiday closings) (or when trade on that exchang is restricted). (section 22(e) of the 1940 act.)"
8,True,offer materi must be supplement or amend at least annual and more frequent if necessari to keep disclosur current and accurate.
10,True,mutual fund are limit in their use of leverag and may onli borrow from bank (subject to a 300% asset coverag requir on the amount of such borrowings).
12,True,"mutual fund may not invest more than 15% of their net asset (10% in the case of money market funds) in illiquid secur (i.e., secur for which market quotat are not readili available, restrict secur and other invest that gener cannot be sold within seven day at approxim the price at which they are carri by the fund)."
14,True,"an investor qualif requir will appli if a mutual fund pay performance-bas compens to it invest advis (other than a “fulcrum” type perform fee under which the fee increas and decreas ratabl base on the perform of the fund in relat to the perform of a design index) or subadviser. generally, thi qualif requir would requir limit investor to person have a net worth of more than $2 million. (section 205 of the invest advis act of 1940 (the “advis act”).)"
17,True,diversification. mutual fund must declar themselv to be “diversified” or “non- diversified.”
19,True,"generally, a diversifi fund is requir to invest more than 75% of the valu of it total asset in cash and cash item (includ receivables), govern securities, secur of other regist invest companies, and other secur that are limit in respect of ani one issuer to an amount not greater in valu than 5% of the valu of the total asset of the fund and to not more than 10% of the outstand vote secur of the issuer. (section 5(b) of the 1940 act.)"
20,False,1177 a venu of the a merica n ew y ork ny 10036-2714 p hone 212.715.9100 f ax 212.715.8000
21,False,990 m arsh r oad m enlo p ark ca 94025-1949 p hone 650.752.1700 f ax 650.752.1800
22,False,47 a venu h och 75008 p ari f ranc p hone (33-1) 44 09 46 00 f ax (33-1) 44 09 46 01
23,False,www.kramerlevin.com
24,False,kl2 2792437.3
29,True,"a non-diversifi mutual fund is not subject to thi requirement, but will be subject to a similar diversif requir with respect to 50% of it asset under the qualif requir of subchapt m of the intern revenu code."
30,True,concentr of investments. mutual fund must have a polici on concentr of invest within ani industri group. (section 8(b) of the 1940 act.)
32,True,"a mutual fund that intend to invest more than 25% of the valu of it asset in the secur of issuer engag in ani one industri must disclos that polici and must at all time concentr it invest in that industry, except under specif defin circumst (e.g., defens invest posit dure period of advers market conditions)."
34,True,a mutual fund that doe not declar a polici of concentr it invest may not invest more than 25% of the valu of it asset in the secur of issuer engag in ani one industry.
36,True,"mutual fund typic use industri classif code publish in the sec’ directori of compani file annual report to determin the industri in which an issuer is engaged. an industri sector (e.g., biotech or energy) is not consid to be a singl industry. thus, it typic is not necessari for a mutual fund to declar a polici of concentr it investments."
37,True,invest in other invest companies. mutual fund invest in other regist invest compani are limited. (section 12(d)(1) of the 1940 act.)
39,True,"generally, a mutual fund may not: (i) purchas more than 3% of the outstand vote stock of anoth invest company; (ii) purchas secur issu by anoth regist invest compani repres more than 5% of the invest mutual fund’ total assets; and (iii) purchas secur issu by invest compani that in the aggreg repres more than 10% of the mutual fund’ total assets."
41,True,"most exchang trade fund (“etfs”) have obtain sec exempt order under which invest in those etf by mutual fund (subject to certain conditions) will not be subject to these limitations. in addition, invest in share of money market fund are not subject to the limit if certain condit are met. (rule 12dl-l under the 1940 act.)"
42,True,"invest in securities-rel issuers. a mutual fund may not purchas ani secur of an issuer that is a broker or dealer, is engag in the busi of underwrit or is a regist invest adviser, except in accord with certain limitations. (section 12(d)(3) of the 1940 act and rule 12d3-l under the 1940 act.)"
44,True,"an invest is permit if, as a result of the purchase, the mutual fund: (i) will not own more than 5% of the outstand secur of that class of the issuer’ equiti securities; and (ii) will not own more than 10% of the outstand princip amount of"
46,False,kl2 2792437.3
47,True,the issuer’ debt securities; provid that after the purchas the mutual fund will not have invest more than 5% of it asset in secur of that issuer.
49,True,such an invest gener is not permit if the issuer is affili with the mutual fund or if the secur be purchas is a gener partnership interest.
51,True,an issuer is deem to be engag in the securities-rel busi describ abov if in it most recent fiscal year it deriv more than 15% of it gross revenu from securities-rel activ (unless the mutual fund will control the issuer after the acquisition).
53,True,"invest in insur companies. generally, a mutual fund may not purchas more than 10% of the outstand vote stock of an insur compani unless at the time of purchas it own more than 25% of such securities. (section 12(d)(2) of the 1940 act.)"
55,True,"use of leverage. as note above, the use of leverag by mutual fund is restrict by the 1940 act and by variou interpret of the sec staff. (section 18(f) of the 1940 act.)"
57,True,"a mutual fund may not issu debt. it may, however, borrow money from a bank. ani such borrow are subject to a 300% asset coverag requirement. (thi mean that a fund may borrow amount that do not exceed 50% of it assets, exclud the amount of borrowings.)"
59,True,deriv and other transactions/posit under which a mutual fund may be liabl to a third parti in an amount exceed the amount of the fund’ invest are prohibit unless the fund ha segreg (or “covered”) on it book (or on the book of it custodian) liquid asset have a valu equal to the amount of the fund’ potenti oblig (marked-to-market daily).
61,True,"these restrict may limit a mutual fund’ abil to engag in certain type of invest strategies; particularli those that requir signific leverage. however, it may be possibl to creat a similar invest exposur within the applic constraint by use swap and other deriv investments."
64,True,"composit of fund boards. as a practic matter (becaus of condit that appli to fund that reli on variou exempt rule under the 1940 act), a major of the member of a mutual fund board must be independ directors. (rule 0-1 under the 1940 act.)"
67,True,"generally, person who are not affili with and do not own ani secur of the fund’ invest advis (or ani affili person of the adviser) will not be “interest persons” and, therefore, will qualifi as independ directors. (section 2(a)(19) of the 1940 act.)"
68,True,"board approv of advisori agreement and princip underwrit agreements. a mutual fund’ invest advisori agreement and it agreement with ani princip underwrit (i.e.,"
70,False,kl2 2792437.3
71,True,the firm that serv as the distributor of the fund’ shares) must be approv by the fund’ board and by a major of the fund’ independ directors. advisori agreement must also be approv by a major of the fund’ outstand vote secur (which at incept could be the vote or consent of the advis who hold the initi seed capit shares). (section 15 of the 1940 act.)
75,True,advisori agreement and princip underwrit agreement may onli have initi term of up to two year and may continu from year to year thereaft onli if approv by a major of the independ directors.
77,True,"advisori agreement may be termin by a mutual fund board (includ the independ directors), without penalty, at ani time on not less than 60 days’ notice."
79,True,"subadvisori agreement are treat the same as advisori agreement under the 1940 act. however, the sec ha grant exempt relief to mani fund allow them to engag subadvis without obtain sharehold approval."
80,True,audit committe and approv of accountants. a mutual fund must have an audit committe of it board of directors.
82,True,the audit committe is requir annual to approv the retent of the mutual fund’ independ accountants.
84,True,the select of a mutual fund’ independ account must also be approv annual by the fund’ independ directors. (section 32(a) of the 1940 act.)
86,False,audit committe typic meet at least twice each year.
89,True,the board ha gener oversight respons with respect to the oper of a fund and the servic provid to the fund by it advis and other servic providers.
91,True,"fund board typic meet on a quarterli basis. although particip in such meet by telephon is gener permissible, independ director must vote “in person” when approv advisori agreements, princip underwrit agreement and accountants."
94,True,"semi-annu and audit annual financi statement must be mail to fund sharehold not later than 60 day after the end of the applic fiscal period. these financi statement are file with the sec on form n-csr and are public filings. they includ schedul of invest show all of a fund’ invest positions, includ short sales."
96,False,kl2 2792437.3
98,True,"form n-q, show a mutual fund’ portfolio holdings, must be file with the sec not later than 60 day after the end of the first and third fiscal quarters. these file are public."
100,True,form n-csr and form n-q file must be certifi by the princip execut offic of a mutual fund and the princip financi offic of the fund.
102,True,mutual fund must file form n-sar with the sec after the end of their semi-annu and annual fiscal periods. thi form contain data regard a fund and it operations.
105,True,mutual fund share may be sold with or without sale charges. rule 22d-l under the 1940 act permit discount in (or elimin of) sale charg if appli on a uniform basi to all investor in a class of shares.
107,True,"sale charg may be front-end load paid by an investor at the time share are purchased, or may be conting defer sale loads, which are paid by the investor in the event share are redeem befor they have been held for a specifi period. (generally, the applic conting defer sale load declin each year over the specifi period.)"
109,True,"a mutual fund may have differ class of it shares, each have differ fee and expens base on differ in distribut and sharehold services. (rule 18f-3 under the 1940 act.)"
111,True,"a mutual fund may pay distribution-rel fees/expenses, provid such payment are made pursuant to a 12b-l plan adopt by the board. a fund’ “12b-1 fees” cannot exceed 100 basi point and, along with sale loads, are subject to variou other finra limitations."
113,True,"mutual fund can gener advertis offer of their shares. however, sec and finra rule govern the content of mutual fund advertising. these rules, among other things, requir that perform inform use in advertis (and in sale materi accompani by a prospectus) includ (or in some cases, be limit to) certain standard perform information."
116,True,"an affili person of a mutual fund (and affili person of such persons) is gener prohibit from sell secur or other properti to, or buy secur or other properti from, the fund. thus, a mutual fund cannot engag in princip transact in secur with affili persons. (section 17(a) of the 1940 act.)"
118,True,an affili person of a mutual fund gener cannot borrow money from the fund. (section 17(a) of the 1940 act.)
120,True,"an affili person cannot receiv ani compens for act as agent of a mutual fund in connect with the purchas or sale of ani property. however, an affili person may receiv usual and customari compens (specifi by the 1940 act and rule 17e-l"
122,False,kl2 2792437.3
123,True,"thereunder) for act as a broker for a mutual fund. thus, a mutual fund may use an affili broker for agenc transact in secur and pay commiss on those transactions. (section 17(e) of the 1940 act.)"
125,True,an affili person of a mutual fund (and affili person of such persons) is gener prohibit from particip in or effect ani transact in connect with ani joint enterpris or joint arrang in which the mutual fund is a participant. (section 17(d) of the 1940 act and rule 17d-l.)
127,True,"a mutual fund may not purchas secur be underwritten by an affili person dure the cours of the underwriting, except in accord with certain conditions. (section 10(f) of the 1940 act and rule 10f-3.)"
128,False,complianc and sec examin
131,True,complianc program. mutual fund must: (i) adopt and implement written polici and procedur reason design to prevent violat of the feder secur laws; and (ii) design a chief complianc offic (a “cco”) to administ these polici and procedures. (the fund cco may also serv as cco of the fund’ adviser.)
133,True,the cco (with respect to his/her role with the mutual fund) report directli to the fund’ board of director and may not be remov from servic to the fund except by board action.
135,True,the compens of the cco must be approv by the mutual fund’ board.
137,True,"the cco is requir to review and provid a written report, not less frequent than annually, regard the oper of the mutual fund’ complianc program."
138,True,sec examinations. the sec and it staff have the author to conduct period and special examin of the requir book and record of mutual funds.
140,False,"examin gener focu on the overal complianc control in place, but also focu on a varieti of specif area relat to fund oper and complianc with applic regulatori requirements."
142,False,"after an examination, the staff normal issu a defici letter note ani item it would like addressed."
144,False,the sec staff also may conduct “for cause” examinations.
147,True,"rule adopt under the usa patriot act requir mutual fund to implement anti-money launder programs, includ custom identif procedures."
149,False,kl2 2792437.3
151,True,"mutual fund are subject to rule adopt under the gramm-leach-bliley act, which requir the adopt of a consum privaci polici and requir that notic of the polici be provid to investors."
153,True,mutual fund must maintain fidel bond provid coverag in specifi amount to protect against “larceni and embezzlement” by offic and employe who may have access to fund assets. (rule 17g-l under the 1940 act.)
155,True,"a mutual fund’ secur and other asset gener must be held in custodi by a u.s. bank. (section 17(f) of the 1940 act.) rule adopt under the 1940 act permit the use of foreign sub-custodian and domest and foreign secur depositories, subject to certain conditions. (rule 17f-4, 17f-5 and 17f-7 under the 1940 act.)"
157,True,"a mutual fund must adopt a written code of ethic and institut procedur govern person trade in secur by officers, director and other personnel. (rule 17j-l under the 1940 act.) these code are similar to those requir under the advis act and requir initi and annual hold report and quarterli transact reports."
159,True,"mutual fund are requir to maintain, and to preserv for specifi periods, variou book and records. (rule 31a-l and 31a-2 under the 1940 act.)"
161,True,"person who have been convict of certain crime within the past 10 years, or who have ever been subject to certain secur (or commodities) relat court impos injunct are inelig to serv as an employee, officer, director, invest advis or princip underwrit of a mutual fund. (section 9(a) of the 1940 act.)"
163,False,kl2 2792437.3
164,False,"if you have ani questions, pleas call an attorney in our financi servic group."
165,False,carl frischl 212.715.7520 cfrischling@kramerlevin.com
166,False,susan j. penry-william 212.715.7510 spenrywilliams@kramerlevin.com
167,False,ronald m. feiman 212.715.9550 rfeiman@kramerlevin.com
168,False,georg m. silfen 212.715.7522 gsilfen@kramerlevin.com
169,False,s. elliott cohan 212.715.9512 ecohan@kramerlevin.com
170,False,aviva grossman 212.715.7514 agrossman@kramerlevin.com
171,False,alexandra k. alberstadt 212.715.9151 aalberstadt@kramerlevin.com
172,False,jacquelin edward 212.715.9510 jedwards@kramerlevin.com
173,False,mark f. paris 212.715.9276 mparise@kramerlevin.com
174,False,dana devivo 212.715.9348 ddevivo@kramerlevin.com
175,False,patrick d. sheridan 212.715.9355 psheridan@kramerlevin.com
176,False,rachael n. de chacón 212.715.9212 rdechacon@kramerlevin.com
178,False,"thi resourc is not intend to be a sourc of legal advice. you should not consid thi inform distribut through variou avenu (blog site, comments, social media sites, websit links, biographi links, etc.) to be an invit for an attorney-cli relationship."
179,False,"neither receipt of inform present on thi resourc nor ani email or other electron commun sent to kramer levin or it lawyer through thi resourc will creat an attorney-cli relationship. ani inform commun to the firm or one of it lawyer befor the firm agre to repres you will not be treat as confidenti and the receipt of inform from you will not prevent the firm from repres someon els whose interest may be advers to you, and ani such e-mail or commun will not be treat as confidential. no user of thi resourc should reli upon or act or refrain from act on the basi of inform includ on thi resourc without seek legal advic of counsel in the relev jurisdiction. kramer levin expressli disclaim all liabil in respect of action taken or not taken base on ani content of thi resource."
180,False,"except as indicated, the content of thi resourc are © kramer levin. all right reserved."
182,False,kl2 2792437.3
183,False,invest mandat
186,False,govern pension fund – global
187,False,1. object
190,False,2. gener constraint
194,False,3. invest univers
